"('NNS', 'people')","('IN', 'of')","('DT', 'that')","('NN', 'area')","(':', '(')"
"('JJ', 'clear')","('IN', 'that')","('DT', 'that')","('NN', 'noise')","('VBD', 'disturbed')"
"('IN', 'Because')","('IN', 'of')","('DT', 'that')","(',', ',')","('JJ', 'many')"
"('NN', 'noise')","('IN', 'at')","('DT', 'that')","('NN', 'moment')","(':', ';')"
"('NNS', 'points')","('IN', 'out')","('DT', 'that')","('IN', 'if')","('JJ', 'long-term')"
"('NNS', 'points')","('IN', 'out')","('DT', 'that')","('NN', 'noise')","('VBZ', 'interrupts')"
"('NNS', 'residents')","('IN', 'of')","('DT', 'that')","('NN', 'area')","('VBD', 'were')"
"('RB', 'apart')","('IN', 'from')","('DT', 'that')","('NN', 'environment')","(',', ',')"
"('VBN', 'exposed')","('TO', 'to')","('DT', 'that')","('NN', 'noise')","('IN', 'for')"
"('MD', 'should')","('VB', 'consider')","('DT', 'that')","('NN', 'everything')","('NN', 'present')"
"('MD', 'should')","('VB', 'consider')","('DT', 'that')","('DT', 'this')","('NN', 'activity')"
"('VB', 'know')","('IN', 'about')","('DT', 'that')","(',', ',')","('WDT', 'which')"
"('NN', 'policy')","('IN', 'of')","('DT', 'that')","('NN', 'community')","('VBD', 'was')"
"('NNP', 'In')","('``', '``')","('DT', 'that')","('DT', 'the')","('NN', 'flexibility')"
"('NNS', 'Technics')","('IN', 'like')","('DT', 'that')","('VBP', 'have')","('VBN', 'been')"
"('PRP', 'me')","('IN', 'in')","('DT', 'that')","('NN', 'moment')","('DT', 'these')"
"('NN', 'Year')","('IN', 'after')","('DT', 'that')","('PRP', 'I')","('VBP', 'realize')"
"('CC', 'but')","('IN', 'during')","('DT', 'that')","('NN', 'time')","(',', ',')"
"('VBZ', 'works')","('IN', 'in')","('DT', 'that')","('NNS', 'circustances')","('.', '.')"
"('NN', 'experience')","('IN', 'in')","('DT', 'that')","('JJ', 'specific')","('NN', 'job')"
"('NN', 'person')","('IN', 'in')","('DT', 'that')","('NN', 'area')","('MD', 'should')"
"('JJ', 'ready')","('IN', 'for')","('DT', 'that')","('NN', 'responsability')","('.', '.')"
"('JJ', 'solicitous')","('IN', 'about')","('DT', 'that')","('JJ', 'specific')","('NN', 'discomfort')"
"('IN', 'Because')","('IN', 'of')","('DT', 'that')","(',', ',')","('PRP', 'they')"
"('WP', 'what')","('VBZ', 'means')","('DT', 'that')","('DT', 'this')","('NN', 'situation')"
"('VBN', 'Based')","('IN', 'on')","('DT', 'that')","(',', ',')","('VBZ', 'communities')"
"(',', ',')","('IN', 'for')","('DT', 'that')","('NN', 'reason')","('DT', 'these')"
"('JJ', 'important')","('IN', 'on')","('DT', 'that')","(',', ',')","('DT', 'the')"
"('NN', 'example')","('IN', 'of')","('DT', 'that')","('VBZ', 'is')","('DT', 'the')"
"('JJ', 'noisy')","('IN', 'in')","('DT', 'that')","('NN', 'area')","(',', ',')"
"('CC', 'and')","('IN', 'after')","('DT', 'that')","('VBZ', 'is')","('JJ', 'possible')"
"('NNS', 'people')","('IN', 'in')","('DT', 'that')","('NN', 'place')","('.', '.')"
"('CC', 'and')","('IN', 'if')","('DT', 'that')","('NN', 'time')","('VBD', 'were')"
"('VBZ', 'argues')","('IN', 'about')","('DT', 'that')","(':', ':')","('``', '``')"
"(',', ',')","('IN', 'in')","('DT', 'that')","('NN', 'way')","(',', ',')"
"('NN', 'student')","('IN', 'in')","('DT', 'that')","('NN', 'example')","('VBZ', 'is')"
"('NN', 'company')","('IN', 'near')","('DT', 'that')","('VBP', 'have')","('DT', 'a')"
"('NNS', 'points')","('IN', 'out')","('DT', 'that')","('NN', 'noise')","('VBZ', 'sounds')"
"('PRP', 'themselves')","('IN', 'against')","('DT', 'that')","('NN', 'applying')","('JJ', 'effective')"
"('VB', 'think')","('IN', 'of')","('DT', 'that')","('IN', 'if')","('NNS', 'students')"
"('DT', 'the')","('NN', 'world')","('DT', 'that')","('PRP', 'we')","('VBP', 'live')"
"('VBN', 'existed')","('IN', 'in')","('DT', 'that')","('NN', 'era')","('VBD', 'helped')"
"('CC', 'and')","('IN', 'after')","('DT', 'that')","('PRP', 'they')","('``', '``')"
"('JJR', 'more')","('IN', 'than')","('DT', 'that')","('NN', 'put')","('DT', 'the')"
"('TO', 'to')","('VB', 'do')","('DT', 'that')","('PRP', 'they')","('VBP', 'count')"
"('TO', 'to')","('VB', 'consider')","('DT', 'that')","('NN', 'technology')","('MD', 'should')"
"('NN', 'work')","('IN', 'in')","('DT', 'that')","('NN', 'posture')","('.', '.')"
"('TO', 'to')","('VB', 'consider')","('DT', 'that')","('DT', 'the')","('NN', 'way')"
"('PRP', 'I')","('VBP', 'consider')","('DT', 'that')","('JJ', ""'how"")","('PRP', 'we')"
"('NN', 'spite')","('IN', 'of')","('DT', 'that')","(',', ',')","('PRP', 'we')"
"('NNS', 'hours')","('IN', 'on')","('DT', 'that')","('NN', 'chair')","(',', ',')"
"('JJ', 'chair')","('IN', 'unless')","('DT', 'that')","('NN', 'chair')","('VBZ', 'is')"
"('JJ', 'comfortable')","('IN', 'on')","('DT', 'that')","('NN', 'chair')","('.', '.')"
