VB,VBN,IN,NN,NN
NN,NNS,WDT,NNS,VBP
IN,NN,WDT,DT,NN
PRP,VBZ,IN,CD,","
NN,TO,DT,NN,NN
PRP,VBD,IN,DT,NN
DT,NN,IN,VBZ,RBR
VBZ,RBR,IN,CD,MD
JJ,NN,WDT,NN,MD
NNP,VBZ,IN,NN,NN
DT,NN,IN,VBZ,VBN
NN,NN,WDT,NN,VBP
JJ,NNS,WDT,NN,DT
DT,NN,WDT,VBZ,VBN
JJ,NN,WDT,VBZ,NN
VBP,VBN,IN,NN,TO
NN,CC,IN,NN,MD
NN,TO,DT,",",NNS
NNS,VBP,IN,NN,NNS
PRP,VBP,IN,NN,TO
PRP$,JJ,IN,NNS,VBP
DT,NNS,WDT,VBP,IN
PRP$,NNS,WDT,NN,NN
JJ,NNS,WDT,DT,NN
NNP,VBZ,IN,NN,NN
VBZ,NNS,IN,``,NN
NNP,NNS,WDT,VBP,NN
PRP,VBD,IN,EX,VBP
NN,VBZ,IN,NNS,VBP
NNS,RB,IN,VB,NNS
IN,NN,IN,NN,NNS
NN,VBZ,IN,NN,IN
NNP,VBZ,IN,DT,NNS
NNS,VBZ,IN,POS,PRP
DT,NN,WDT,VBP,NNS
JJ,NN,WDT,VBZ,DT
DT,NN,IN,NN,VBZ
JJ,NNS,WDT,NNS,DT
DT,NNS,WDT,NN,NNS
VBZ,JJ,IN,NN,VBZ
PRP,VBZ,IN,PRP,MD
NN,CC,IN,IN,RB
NN,NN,WDT,VBZ,VBP
NN,CC,IN,RB,MD
PRP,VBZ,IN,DT,NN
NN,TO,DT,",",DT
IN,NN,IN,JJ,NNS
RB,VBZ,IN,EX,VBP
RB,VBZ,IN,NN,NNS
DT,NNS,WDT,VBP,NNS
NNP,VBZ,IN,``,DT
JJ,NNS,WDT,NN,NNS
RB,RB,WDT,",",PRP
DT,NN,IN,JJ,NNS
JJ,NNS,WDT,JJ,IN
DT,NN,IN,VBN,PRP
RB,VBZ,IN,JJ,NNS
IN,IN,DT,",",PRP
NN,IN,DT,DT,NN
CC,MD,IN,VB,PRP
WP,VBD,IN,PRP,VBP
NN,CC,IN,MD,VB
DT,NN,WDT,VBZ,NN
IN,NN,IN,MD,VB
NN,VBG,IN,PRP,VBP
",",CC,IN,MD,VB
NN,NN,WDT,VBZ,JJ
IN,NNS,IN,MD,VB
IN,NNS,IN,VBP,JJR
JJ,NN,WDT,DT,","
PRP,VBZ,IN,JJ,NNS
NNP,VBZ,IN,NN,NN
VBZ,VBG,IN,PRP,VBP
VBN,IN,DT,WRB,NNS
NN,IN,DT,",",PRP
PRP,VBD,IN,JJ,NN
",",CC,IN,VBZ,DT
MD,VB,IN,EX,MD
DT,NNS,WDT,PRP,VBP
JJ,NN,WDT,VBD,VBN
NNS,MD,IN,VB,NN
DT,NN,IN,VB,DT
NN,NNS,WDT,PRP,VBP
NNS,VBD,IN,DT,NNS
NNP,VBD,IN,VBG,IN
DT,NNS,WDT,NN,IN
JJ,NNS,WDT,MD,VB
DT,NN,IN,PRP,VBP
VBZ,IN,DT,TO,DT
NNS,IN,DT,NN,NN
NN,NN,WDT,DT,NNS
IN,NNS,IN,NN,DT
JJ,NN,IN,PRP,MD
JJ,NN,WDT,DT,NN
IN,NNS,WDT,VBZ,DT
JJ,NNS,WDT,NNS,DT
NNS,NNS,WDT,VBP,DT
JJ,NNS,WDT,NN,PRP
NN,NN,WDT,VBP,JJ
NN,VBD,IN,PRP,VBP
DT,NN,WDT,NNS,VBP
VBG,NNS,WDT,VBP,RB
JJ,IN,DT,NN,IN
CC,NNS,WDT,NN,TO
JJS,NN,WDT,NNS,TO
DT,NN,WDT,MD,VB
PRP,VBP,IN,DT,NN
NN,NNS,WDT,PRP,MD
NN,",",IN,VBZ,RB
",",VBZ,IN,NN,NN
PRP,VBD,IN,EX,VBP
NN,NN,WDT,NNS,VBP
NNP,VBZ,IN,NN,TO
TO,JJR,IN,CD,NN
NNP,VBZ,IN,NN,NN
CC,MD,IN,NN,TO
NN,NNS,WDT,NN,NNS
PRP,VBZ,IN,DT,NNS
VBZ,JJ,IN,JJ,NN
DT,NNS,WDT,VBP,RB
TO,VB,IN,NNS,CC
RB,VBN,IN,NNS,.
NNP,VBZ,IN,DT,NN
PRP$,NNS,WDT,MD,RB
NNS,IN,DT,NNS,IN
VBN,VBN,IN,JJ,TO
IN,VBG,IN,``,JJ
NNS,VBP,IN,PRP,VBP
WDT,NN,WDT,NNP,NN
NNS,VBP,IN,NN,IN
IN,VBG,IN,NNP,VBZ
TO,VB,IN,NN,IN
NN,TO,DT,",",PRP
PRP,VBP,IN,DT,NN
NN,VBZ,IN,MD,VB
NNP,NN,WDT,",",``
VB,JJ,IN,NN,MD
JJ,NNS,WDT,NN,NN
NN,NN,IN,DT,NN
NN,VBD,IN,",",''
VBP,VBN,IN,DT,NN
NNS,VBP,IN,NN,NN
NN,NN,WDT,NN,VBZ
NNP,VBD,IN,",",``
JJ,NNS,WDT,VBZ,IN
NNS,VBP,IN,NN,NN
NNP,VBD,IN,",",``
NN,NN,IN,VBZ,VBN
VBN,NN,IN,NNS,VBP
NNS,VBP,IN,DT,NN
NN,NN,WDT,MD,VB
RB,IN,IN,EX,VBP
DT,NN,IN,VBN,TO
VBN,IN,DT,NN,","
NN,VBZ,IN,DT,NN
VB,NN,IN,VBP,VBN
JJ,NNS,WDT,VBP,VBN
DT,NNS,WDT,MD,VB
VB,NNS,WDT,MD,VB
JJ,NN,IN,MD,VB
DT,NNS,IN,VBP,DT
DT,NN,IN,VBZ,VBG
NNP,VBZ,IN,PRP,VBP
NN,NN,WDT,NN,IN
JJ,VBN,IN,DT,NNS
RB,VBZ,IN,DT,NN
JJ,NNS,WDT,VBP,IN
NN,IN,DT,",",NN
PRP,VBP,IN,NN,RB
VB,NN,WDT,NNS,VBP
NNS,NN,WDT,VBZ,VBN
DT,NN,IN,NNS,IN
NNP,VBP,IN,CD,NN
NNS,VBP,IN,DT,NN
DT,NN,IN,VBZ,VBG
VBP,VBN,IN,NN,DT
DT,NN,WDT,NNS,VBP
DT,NNS,WDT,NNS,VBP
DT,NN,WDT,PRP,VBP
IN,NNS,WDT,MD,VB
NNS,IN,DT,DT,JJ
JJ,CC,IN,MD,VB
NN,VBZ,IN,NNS,MD
JJ,NNS,WDT,PRP,MD
DT,NN,WDT,MD,VB
DT,NN,IN,PRP,RB
WDT,VBZ,DT,PRP,VBP
NN,VBZ,IN,NNS,WP
NNS,VBP,IN,VBG,NN
JJS,NNS,DT,NN,DT
VBG,",",IN,MD,VB
",",VBG,IN,JJR,IN
VBG,NN,WDT,VBP,NN
'',VBZ,IN,DT,NN
NNS,VBZ,IN,VBG,DT
NNS,VBP,IN,NN,MD
'',VBZ,IN,IN,DT
IN,NNS,IN,JJ,DT
NNP,VBZ,IN,``,JJ
VBG,VBZ,IN,VBG,IN
NN,IN,DT,MD,VB
DT,NN,IN,JJ,DT
NNS,VBD,IN,DT,NN
NN,NN,WDT,DT,NN
NN,IN,DT,NN,NN
NNS,",",IN,VBZ,IN
TO,VB,IN,NN,:
IN,NN,IN,NN,MD
DT,JJ,IN,NNS,MD
JJ,NNS,WDT,NNS,MD
",",NNS,WDT,VBP,JJ
",",NNS,WDT,VBP,RB
NN,TO,DT,NNS,VBP
JJ,TO,DT,",",DT
MD,VB,IN,JJ,NN
JJ,NNS,WDT,VBZ,JJ
NNS,VBP,IN,TO,VB
PRP$,NN,WDT,PRP,VBP
JJ,NN,IN,VBN,IN
",",VBD,IN,NN,CC
DT,NN,IN,NNS,VBD
NNS,VBD,IN,CD,NNS
IN,VBG,IN,VBZ,VBG
NNS,VBP,IN,JJ,NN
JJ,CC,IN,NN,MD
VBN,NNS,IN,JJ,PRP
IN,NN,WDT,NN,NN
NNS,VBP,IN,NN,IN
MD,VB,DT,CC,MD
RB,VBP,IN,VBG,WRB
NN,NNS,WDT,NN,PRP
PRP$,NN,WDT,PRP,VBP
RB,VBG,IN,MD,VB
NN,NNS,WDT,MD,VB
DT,NNS,WDT,PRP,VBP
JJ,",",IN,VBZ,PRP
DT,NN,IN,PRP,VBP
NNP,VBD,IN,PRP,MD
NN,VBZ,IN,PRP,VBD
DT,NN,IN,VBG,IN
NN,NN,WDT,NN,PRP$
DT,NNS,WDT,MD,VB
:,NN,IN,PRP,VBP
DT,NN,IN,PRP,VBP
VBP,IN,DT,NN,VBG
NN,IN,DT,JJ,NN
JJ,NN,WDT,VBZ,DT
VBP,IN,DT,NN,PRP
RB,RB,IN,DT,NN
JJ,IN,DT,",",JJ
VBP,VBN,IN,NNS,VBP
DT,NN,IN,MD,VB
NNP,VBZ,IN,NN,CC
VB,PRP,IN,",",NN
VBD,VBN,IN,",",NNP
NN,-NONE-,IN,JJ,NN
DT,NN,IN,DT,NN
NN,RP,IN,VBG,NNS
JJ,NN,WDT,VBZ,PRP$
JJ,NN,WDT,MD,VB
NNS,NNS,WDT,DT,NNS
NNP,VBZ,IN,NNS,WP
IN,NN,IN,VBZ,RB
NN,",",IN,RB,JJ
NNP,NNS,WDT,VBG,CC
DT,NN,IN,PRP$,NNS
DT,NN,IN,VBN,IN
NN,NNS,WDT,JJ,IN
VB,NN,IN,VBZ,PRP
JJS,NN,WDT,VBZ,MD
NNS,VBP,IN,PRP,VBZ
NN,CC,IN,VBZ,JJ
JJ,NNS,WDT,NN,PRP
DT,NNS,WDT,MD,VB
JJ,NN,WDT,MD,VB
NN,NN,WDT,VBZ,DT
NNP,VBZ,IN,DT,NN
NN,NN,WDT,VBZ,VBN
RB,VBZ,IN,DT,NN
RBR,VBZ,IN,NNS,WP
JJ,NN,WDT,NN,RB
JJ,NN,IN,VBN,IN
JJ,NNS,WDT,MD,VB
VBP,NN,IN,MD,VB
DT,NN,IN,MD,VB
JJ,NNS,WDT,NN,WRB
VB,VBN,IN,TO,VB
JJ,NNS,WDT,VBG,CC
VB,NNS,WDT,NN,IN
DT,NNS,WDT,PRP,VBP
JJ,NNS,WDT,NN,NNS
JJ,NNS,WDT,VBP,RB
NN,CC,IN,NNS,DT
JJ,NNS,WDT,VBZ,PRP
JJ,NNS,WDT,PRP,VBP
DT,NNS,WDT,JJ,NN
RB,VBD,IN,PRP$,NN
DT,NN,IN,NNS,VBP
DT,NN,IN,NNS,VBP
DT,NN,WDT,DT,NN
JJ,NN,WDT,JJ,NNS
DT,NNS,WDT,NN,TO
DT,NNS,IN,VBP,.
DT,NN,IN,NNS,RB
DT,NN,IN,NNS,MD
DT,NN,WDT,PRP,MD
NNS,VBP,IN,JJ,NNS
DT,NNS,WDT,VBP,NNS
DT,NNS,IN,MD,RB
'',NN,IN,",",''
DT,NNS,IN,NNS,NNS
NN,",",IN,MD,VB
NNP,VBD,IN,NN,IN
IN,NN,WDT,NN,JJ
NN,",",IN,NNS,DT
NN,",",IN,NN,TO
VB,",",IN,NN,PRP
",",IN,DT,JJ,PRP
NNS,",",IN,NN,PRP
NN,",",IN,JJ,PRP
MD,VB,IN,VBG,JJ
IN,NNS,WDT,NN,NN
NNP,VBD,IN,JJS,IN
",",CC,IN,MD,VB
VB,",",IN,MD,VB
IN,NN,IN,VB,VBN
DT,NN,IN,VB,JJ
DT,NN,IN,NN,TO
JJ,NN,WDT,VB,NN
DT,NNS,WDT,VBD,DT
'',VBZ,IN,VBG,IN
DT,NNS,WDT,JJ,NN
