"('NNP', 'Quite')","('TO', 'to')","('DT', 'the')","('NN', 'contrary')","(',', ',')"
"('NN', 'sound')","('IN', 'by')","('DT', 'the')","('VBG', 'feeling')","('PRP', 'it')"
"(""''"", ""''"")","('VBZ', 'decribes')","('DT', 'the')","('NNS', 'consequences')","('IN', 'of')"
"('CC', 'and')","('NNS', 'urges')","('DT', 'the')","('NN', 'sound')","('NNS', 'engineers')"
"('MD', 'can')","('VB', 'affect')","('DT', 'the')","('NN', 'health')","('RB', 'negatively')"
"('MD', 'can')","('VB', 'damage')","('DT', 'the')","('NN', 'hearing')","('.', '.')"
"('NN', 'noise')","('IN', 'in')","('DT', 'the')","('NN', 'industry')","('NN', 'impact')"
"('MD', 'will')","('VB', 'change')","('DT', 'the')","('NN', 'struture')","('IN', 'of')"
"('NN', 'struture')","('IN', 'of')","('DT', 'the')","('NN', 'inner')","('NN', 'part')"
"('NN', 'part')","('IN', 'of')","('DT', 'the')","('JJ', 'ear')","('CC', 'and')"
"('CC', 'and')","('VB', 'make')","('DT', 'the')","('NNS', 'listeners')","('JJR', 'more')"
"('VBN', 'stopped')","('IN', 'by')","('DT', 'the')","('NN', 'loud')","('NN', 'noise')"
"('NN', 'Anyone')","('NNS', 'deserves')","('DT', 'the')","('NN', 'right')","('TO', 'to')"
"('CC', 'and')","('IN', 'in')","('DT', 'the')","('NN', 'morning')","('.', '.')"
"('MD', 'will')","('VB', 'disturb')","('DT', 'the')","('NNS', 'neighbors')","('WP', 'who')"
"('MD', 'should')","('VB', 'take')","('DT', 'the')","('NN', 'proper')","('VBZ', 'measures')"
"('IN', 'by')","('NN', 'enforcing')","('DT', 'the')","('NNS', 'laws')","('CC', 'and')"
"('NN', 'policy')","('WDT', 'that')","('DT', 'the')","('NNS', 'buses')","('VBP', 'are')"
"('RB', 'not')","('VB', 'let')","('DT', 'the')","('NNS', 'engines')","('VBP', 'work')"
"('MD', 'will')","('VB', 'annoy')","('DT', 'the')","('NN', 'neighboorhood')","('.', '.')"
"('NN', 'fact')","(',', ',')","('DT', 'the')","('NN', 'reality')","('VBZ', 'is')"
"(',', ',')","('VBZ', 'gives')","('DT', 'the')","('NN', 'impression')","('PRP', 'they')"
"('MD', 'will')","('VB', 'take')","('DT', 'the')","('NNS', 'steps')","(',', ',')"
"('RB', 'Consequently')","(',', ',')","('DT', 'the')","('NNS', 'residents')","('VBG', 'living')"
"(',', ',')","('VBG', 'taking')","('DT', 'the')","('NNS', 'streets')","('IN', 'in')"
"('TO', 'to')","('VB', 'make')","('DT', 'the')","('NNS', 'authorities')","('VBP', 'respect')"
"('NN', 'issue')","('IN', 'with')","('DT', 'the')","('NN', 'idea')","('IN', 'of')"
"('VBZ', 'suggests')","('RB', 'only')","('DT', 'the')","('NN', 'exposure')","('TO', 'to')"
"('NN', 'Prevention')","('VBZ', 'is')","('DT', 'the')","('JJ', 'key')","('CC', 'and')"
"('JJ', 'irreversible')","('TO', 'to')","('DT', 'the')","('NN', 'ear')","('.', '.')"
"('NN', 'health')","('CC', 'and')","('DT', 'the')","('JJ', 'disturbing')","('NN', 'environment')"
"('CC', 'and')","('VBG', 'altering')","('DT', 'the')","('NN', 'mood')","('.', '.')"
"('NNS', 'plants')","('IN', 'near')","('DT', 'the')","('JJ', 'residential')","('NNS', 'areas')"
"('VBZ', 'measures')","('IN', 'for')","('DT', 'the')","('NNS', 'workers')","('IN', 'of')"
"('JJ', 'reduce/control')","('IN', 'of')","('DT', 'the')","('NN', 'idle')","('NNS', 'buses')"
"('NN', 'complaint')","('IN', 'against')","('DT', 'the')","('NNS', 'industries')","('WDT', 'that')"
"('NNS', 'plants')","('IN', 'near')","('DT', 'the')","('JJ', 'residential')","('NNS', 'areas')"
"('NNP', 'Fisher')","('IN', 'in')","('DT', 'the')","('``', '``')","('NNP', 'Noise')"
"('TO', 'to')","('NN', 'control')","('DT', 'the')","('NN', 'noise')","('NN', 'pollution')"
"('NNS', 'industries')","('IN', 'for')","('DT', 'the')","('NN', 'safety')","('IN', 'of')"
"('TO', 'to')","('NN', 'control')","('DT', 'the')","('JJ', 'serious')","('NN', 'damage')"
"('NN', 'suppervion')","('IN', 'on')","('DT', 'the')","('NN', 'implimentation')","('IN', 'of')"
"('IN', 'for')","('VBG', 'controling')","('DT', 'the')","('JJ', 'physical')","('JJ', 'negative')"
"('IN', 'by')","('NN', 'providing')","('DT', 'the')","('NN', 'worker')","('IN', 'with')"
"('NNS', 'buses')","('IN', 'around')","('DT', 'the')","('NN', 'city')","('CC', 'and')"
"('NNS', 'decades')","('IN', 'about')","('DT', 'the')","('``', '``')","('JJ', 'round-the-clock')"
"('NN', 'noise')","('IN', 'from')","('DT', 'the')","('NNS', 'buses')","(""''"", ""''"")"
"('VB', 'trun')","('RP', 'off')","('DT', 'the')","('NNS', 'motors')","('IN', 'of')"
"('NNS', 'motors')","('IN', 'of')","('DT', 'the')","('NNS', 'buses')","('IN', 'while')"
"('RB', 'specially')","('IN', 'during')","('DT', 'the')","('NN', 'night')","('WRB', 'when')"
"('NN', 'complain')","('IN', 'about')","('DT', 'the')","('NNS', 'industries')","('WDT', 'which')"
"('VBN', 'considered')","('IN', 'of')","('DT', 'the')","('NN', 'noise')","('NNS', 'standards')"
"('NN', 'pollution')","('IN', 'near')","('DT', 'the')","('JJ', 'residential')","('NNS', 'areas')"
"('VB', 'ensure')","('DT', 'both')","('DT', 'the')","('NN', 'noise')","('NN', 'control')"
"('NN', 'development')","('IN', 'of')","('DT', 'the')","('NN', 'techonology')","('IN', 'in')"
"('NN', 'techonology')","('IN', 'in')","('DT', 'the')","('NNP', 'XXI')","('NN', 'century')"
"('IN', 'With')","('DT', 'this')","('DT', 'the')","('NN', 'advance')","('IN', 'of')"
"('NN', 'development')","('IN', 'of')","('DT', 'the')","('NN', 'society')","('IN', 'as')"
"('RB', 'well')","('IN', 'as')","('DT', 'the')","('NN', 'well')","('VBG', 'being')"
"('VBG', 'being')","('IN', 'of')","('DT', 'the')","('JJ', 'human')","('NN', 'kind')"
"('IN', 'that')","('NNS', 'deserves')","('DT', 'the')","('NN', 'attention')","('IN', 'of')"
"('NN', 'attention')","('IN', 'of')","('DT', 'the')","('NN', 'society')","('IN', 'in')"
"('CD', 'One')","('IN', 'of')","('DT', 'the')","('DT', 'the')","('JJ', 'negative')"
"('IN', 'of')","('DT', 'the')","('DT', 'the')","('JJ', 'negative')","('NNS', 'efects')"
"('NNS', 'functions')","('IN', 'of')","('DT', 'the')","('JJ', 'human')","('VBG', 'being')"
"('NN', 'evidence')","(',', ',')","('DT', 'the')","('NN', 'article')","('``', '``')"
"(""''"", ""''"")","('IN', 'about')","('DT', 'the')","('NNS', 'effects')","('IN', 'of')"
"('NN', 'alteration')","('IN', 'of')","('DT', 'the')","('JJ', 'electrical')","('NN', 'activity')"
"('NN', 'activity')","('IN', 'of')","('DT', 'the')","('NN', 'brain')","(',', ',')"
"(',', ',')","('TO', 'to')","('DT', 'the')","('JJ', 'human')","('NN', 'kind')"
"('NN', 'pollution')","(',', ',')","('DT', 'the')","('NN', 'society')","('MD', 'will')"
